"Date","P/E"
"03-Oct-2022","       20.39"
"04-Oct-2022","       20.86"
"06-Oct-2022","       20.93"
"07-Oct-2022","       20.90"
"10-Oct-2022","       20.82"
"11-Oct-2022","       20.51"
"12-Oct-2022","       20.67"
"13-Oct-2022","       20.53"
"14-Oct-2022","       20.74"
"17-Oct-2022","       20.86"
"18-Oct-2022","       20.99"
"19-Oct-2022","       21.02"
"20-Oct-2022","       21.06"
"24-Oct-2022","       21.26"
"25-Oct-2022","       21.00"
"27-Oct-2022","       21.10"
"28-Oct-2022","       21.15"
"31-Oct-2022","       21.42"
